Frame,T,Caos_Original,Caos_Fenix,Ruido_Vibracional,Fluxo_Qiskit,q0_x,q0_y,q0_z,q0_S,q0_VR_Ganho,q0_Torque,q1_x,q1_y,q1_z,q1_S,q1_VR_Ganho,q1_Torque,q2_x,q2_y,q2_z,q2_S,q2_VR_Ganho,q2_Torque,q3_x,q3_y,q3_z,q3_S,q3_VR_Ganho,q3_Torque,q4_x,q4_y,q4_z,q4_S,q4_VR_Ganho,q4_Torque,q5_x,q5_y,q5_z,q5_S,q5_VR_Ganho,q5_Torque,q6_x,q6_y,q6_z,q6_S,q6_VR_Ganho,q6_Torque,q7_x,q7_y,q7_z,q7_S,q7_VR_Ganho,q7_Torque,q8_x,q8_y,q8_z,q8_S,q8_VR_Ganho,q8_Torque,q9_x,q9_y,q9_z,q9_S,q9_VR_Ganho,q9_Torque,q10_x,q10_y,q10_z,q10_S,q10_VR_Ganho,q10_Torque,q11_x,q11_y,q11_z,q11_S,q11_VR_Ganho,q11_Torque,q12_x,q12_y,q12_z,q12_S,q12_VR_Ganho,q12_Torque,q13_x,q13_y,q13_z,q13_S,q13_VR_Ganho,q13_Torque
0,0.00000000,0.00000000,0.00000000,0.00000000,-0.05000000,23.49999999,-0.00058925,0.00000000,0.99951038,0.99501248,0.00497506,21.17302406,10.19573697,0.00000000,0.99951038,0.99501248,0.00497506,14.65247104,18.37267244,0.00000000,0.99951038,0.99501248,0.00497506,5.22981643,22.91067481,0.00000000,0.99951038,0.99501248,0.00497506,-5.22866747,22.91093705,0.00000000,0.99951038,0.99501248,0.00497506,-14.65154964,18.37340723,0.00000000,0.99951038,0.99501248,0.00497506,-21.17251272,10.19679877,0.00000000,0.99951038,0.99501248,0.00497506,-23.49999999,0.00058925,0.00000000,0.99951038,0.99501248,0.00497506,-21.17302406,-10.19573697,0.00000000,0.99951038,0.99501248,0.00497506,-14.65247104,-18.37267244,0.00000000,0.99951038,0.99501248,0.00497506,-5.22981643,-22.91067481,0.00000000,0.99951038,0.99501248,0.00497506,5.22866747,-22.91093705,0.00000000,0.99951038,0.99501248,0.00497506,14.65154964,-18.37340723,0.00000000,0.99951038,0.99501248,0.00497506,21.17251272,-10.19679877,0.00000000,0.99951038,0.99501248,0.00497506
1,0.05000000,0.00714286,0.00714286,0.00000000,-0.05000000,23.42012870,1.89772365,0.00000012,0.99954537,0.98864137,0.00423215,20.27731432,11.87157474,0.00000012,0.99956063,0.98919884,0.00367691,13.11782273,19.49426607,0.00000012,0.99961935,0.99134641,0.00153499,3.36006911,23.25539788,0.00000012,0.99968414,0.99372094,-0.00083870,-7.06287772,22.41025066,0.00000012,0.99969796,0.99422804,-0.00134636,-16.08673608,17.12660358,0.00000012,0.99965977,0.99282722,0.00005537,-21.92415601,8.45193342,0.00000012,0.99953681,0.98832908,0.00454305,-23.42001814,-1.89903418,0.00000012,0.99969477,0.99411102,-0.00122919,-20.27752833,-11.87121097,0.00000012,0.99952951,0.98806248,0.00480839,-13.11776945,-19.49430167,0.00000012,0.99962679,0.99161877,0.00126302,-3.36130974,-23.25522261,0.00000012,0.99954652,0.98868348,0.00419022,7.06214930,-22.41048343,0.00000012,0.99959203,0.99034691,0.00253244,16.08681487,-17.12652881,0.00000012,0.99967892,0.99352964,-0.00064726,21.92467983,-8.45056103,0.00000012,0.99970427,0.99445987,-0.00157853
2,0.10000000,0.01428571,0.01428571,0.00000000,-0.05000000,23.18079856,3.78344574,0.00000025,0.99966558,0.98482594,0.00098941,19.24336240,13.46687872,0.00000025,0.99969481,0.98598968,-0.00017386,11.49625258,20.48170491,0.00000025,0.99958585,0.98165835,0.00414872,1.47005881,23.44147754,0.00000025,0.99963907,0.98377150,0.00204222,-8.84621646,21.75795075,0.00000025,0.99962798,0.98333102,0.00248169,-17.41055191,15.76504535,0.00000025,0.99962514,0.98321826,0.00259415,-22.52711861,6.64774707,0.00000025,0.99978766,0.98969487,-0.00388665,-23.18076709,-3.78363477,0.00000025,0.99967847,0.98533913,0.00047659,-19.24275650,-13.46772621,0.00000025,0.99991765,0.99490309,-0.00912900,-11.49607990,-20.48180133,0.00000025,0.99959527,0.98203193,0.00377664,-1.46859837,-23.44156384,0.00000025,0.99975037,0.98820540,-0.00239245,8.84804482,-21.75719888,0.00000025,0.99979396,0.98994662,-0.00413942,17.41024410,-15.76538696,0.00000025,0.99960132,0.98227204,0.00353742,22.52708671,-6.64785802,0.00000025,0.99977055,0.98901105,-0.00320038
3,0.15000000,0.02142857,0.02142857,0.00000000,-0.05000000,22.78341884,5.64334059,0.00000037,0.99996533,0.99268455,-0.01398319,18.08040793,14.96766133,0.00000037,0.99970978,0.97803232,0.00076677,9.79340205,21.33121723,0.00000037,0.99992717,0.99441928,-0.01574387,-0.43226841,23.46795037,0.00000037,0.99992789,0.98784635,-0.00908864,-10.57120054,20.95665287,0.00000037,0.99991449,0.99499641,-0.01633031,-18.61750825,14.29405203,0.00000037,0.99993397,0.98812156,-0.00936642,-22.97574329,4.80068891,0.00000037,0.99999825,0.99103171,-0.01230844,-22.78467889,-5.63831789,0.00000037,0.99962698,0.97433048,0.00445869,-18.07923033,-14.96907686,0.00000037,0.99980183,0.98216305,-0.00336943,-9.79694109,-21.32960614,0.00000037,0.99965752,0.97569460,0.00309986,0.43222904,-23.46794794,0.00000037,0.99999436,0.99136703,-0.01264798,10.56992820,-20.95730338,0.00000037,0.99974996,0.97983336,-0.00103452,18.61708250,-14.29460796,0.00000037,0.99991572,0.99494045,-0.01627342,22.97477417,-4.80540669,0.00000037,0.99964465,0.97511956,0.00367290
4,0.20000000,0.02857143,0.02857143,0.00000000,-0.05000000,22.23212168,7.45944243,0.00000050,0.99985310,0.97664568,-0.00482470,16.79469868,16.36608309,0.00000050,0.99980860,0.97441077,-0.00258131,8.02908532,22.03280231,0.00000050,0.99980195,0.99413948,-0.02256067,-2.32223368,23.33490731,0.00000050,0.99974615,0.97128224,0.00055048,-12.21979482,20.01467488,0.00000050,0.99979674,0.99440580,-0.02283307,-19.69410248,12.72999862,0.00000050,0.99983783,0.99230440,-0.02068564,-23.26717081,2.92391002,0.00000050,0.99987308,0.99050556,-0.01885093,-22.23147957,-7.46134281,0.00000050,0.99999003,0.98456172,-0.01281185,-16.79259980,-16.36822899,0.00000050,0.99998453,0.98327423,-0.01150844,-8.02830059,-22.03308668,0.00000050,0.99985073,0.99164597,-0.02001370,2.32694265,-23.33443182,0.00000050,0.99995488,0.98177516,-0.00999297,12.21761426,-20.01600696,0.00000050,0.99977098,0.97252511,-0.00069248,19.69454404,-12.72931136,0.00000050,0.99991144,0.98855202,-0.01686214,23.26716855,-2.92392836,0.00000050,0.99987146,0.99058827,-0.01893522
5,0.25000000,0.03571429,0.03571429,0.00000000,0.05000000,21.52940074,9.22432689,0.00000062,0.99954710,0.97668772,-0.01184330,15.39463321,17.65243866,0.00000062,0.99937981,0.98562251,-0.02092717,6.21215069,22.58345593,0.00000062,0.99958651,0.97459540,-0.00972784,-4.20098545,23.04246115,0.00000062,0.99961669,0.97299634,-0.00811413,-13.78442583,18.93654986,0.00000062,0.99943155,0.98285002,-0.01809971,-20.63396081,11.08345720,0.00000062,0.99903692,0.99580757,-0.03974818,-23.39945856,1.03377933,0.00000062,0.99904903,0.99646540,-0.03911639,-21.52961459,-9.22382753,0.00000062,0.99957937,0.97497406,-0.01011035,-15.39551100,-17.65167243,0.00000062,0.99958399,0.97472916,-0.00986295,-6.21427382,-22.58287321,0.00000062,0.99904045,0.99599921,-0.03956418,4.19988477,-23.04266327,0.00000062,0.99903302,0.99559590,-0.03995138,13.78256135,-18.93790633,0.00000062,0.99962399,0.97261034,-0.00772499,20.63507333,-11.08138432,0.00000062,0.99931294,0.98921860,-0.02460616,23.39952378,-1.03229095,0.00000062,0.99924446,0.99291557,-0.02840200
6,0.30000000,0.04285714,0.04285714,0.00000000,0.05000000,20.68432672,10.91662564,0.00000074,0.99965167,0.96352521,-0.00549259,13.89729364,18.81166356,0.00000074,0.99912557,0.99042210,-0.03291478,4.35893088,22.97854899,0.00000074,0.99957226,0.96753479,-0.00953336,-6.04536089,22.59352196,0.00000074,0.99926430,0.98325272,-0.02553315,-15.24997660,17.73279324,0.00000074,0.99936404,0.97813229,-0.02029310,-21.43339711,9.36071981,0.00000074,0.99923465,0.98478044,-0.02710172,-23.37230873,-0.86549149,0.00000074,0.99948769,0.97182417,-0.01387450,-20.68398037,-10.91728075,0.00000074,0.99963146,0.96454431,-0.00651804,-13.89556133,-18.81295435,0.00000074,0.99947536,0.97245142,-0.01451090,-4.35583632,-22.97912994,0.00000074,0.99934775,0.97896671,-0.02114519,6.03728542,-22.59567174,0.00000074,0.99890891,0.99827195,-0.04450964,15.24707722,-17.73529410,0.00000074,0.99959581,0.96634407,-0.00833164,21.43277681,-9.36213496,0.00000074,0.99915575,0.98885763,-0.03129955,23.37226311,0.86664809,0.00000074,0.99938019,0.97730590,-0.01944992
7,0.35000000,0.05000000,0.05000000,0.00000000,-0.05000000,19.69845516,12.53475274,0.00000086,0.99994836,0.96087187,-0.00969115,12.31198719,19.83844609,0.00000086,0.99985484,0.95667897,-0.00546512,2.47775929,23.21658333,0.00000086,0.99988478,0.96839726,-0.01732184,-7.84199518,21.99208724,0.00000086,0.99976529,0.97382461,-0.02286144,-16.60571628,16.41336214,0.00000086,0.99950949,0.98555397,-0.03493652,-22.08352941,7.58066352,0.00000086,0.99973628,0.97514761,-0.02421640,-23.18570866,-2.75164298,0.00000086,0.99968429,0.97752276,-0.02665342,-19.70091896,-12.53087023,0.00000086,0.99982761,0.95546154,-0.00424152,-12.31086772,-19.83914250,0.00000086,0.99988804,0.95816545,-0.00696126,-2.48206361,-23.21612587,0.00000086,0.99993782,0.96039871,-0.00921334,7.84085959,-21.99248317,0.00000086,0.99957113,0.98271352,-0.03199948,16.59886273,-16.42030959,0.00000086,0.99977575,0.95314660,-0.00191910,22.08117858,-7.58752889,0.00000086,0.99988957,0.95823425,-0.00703055,23.18593633,2.74981333,0.00000086,0.99992618,0.96652427,-0.01541716
8,0.40000000,0.05714286,0.05714286,0.00000000,-0.05000000,18.59176417,14.04845819,0.00000097,0.99964563,0.94248758,0.00196950,10.63629002,20.73359444,0.00000097,0.99951686,0.97555630,-0.03160359,0.58995917,23.29515256,0.00000097,0.99931621,0.98365932,-0.04000267,-9.57793238,21.24326557,0.00000097,0.99976443,0.96565740,-0.02143440,-17.84542313,14.98509639,0.00000097,0.99934293,0.98257612,-0.03887601,-22.58063239,5.75567516,0.00000097,0.99958965,0.97263463,-0.02859164,-22.84347421,-4.60316547,0.00000097,0.99992031,0.95320789,-0.00878915,-18.57955541,-14.06461132,0.00000097,0.99978838,0.96470568,-0.02046203,-10.65471827,-20.72413740,0.00000097,0.99965524,0.94286079,0.00159699,-0.58700074,-23.29523626,0.00000097,0.99951627,0.97557993,-0.03162798,9.57556581,-21.24430972,0.00000097,0.99930267,0.98420856,-0.04057440,17.84558565,-14.98493864,0.00000097,0.99985654,0.96200216,-0.01770495,22.57881510,-5.76286656,0.00000097,0.99995672,0.95463709,-0.01023260,22.84305455,4.60526180,0.00000097,0.99998306,0.95567256,-0.01127972
9,0.45000000,0.06428571,0.06428571,0.00000000,-0.05000000,17.34253838,15.48711141,0.00000109,0.99984101,0.95518219,-0.01760643,8.90146303,21.47970600,0.00000109,0.99952034,0.96668907,-0.02939444,-1.29264360,23.21515610,0.00000109,0.99994447,0.95150170,-0.01386520,-11.24280692,20.35221850,0.00000109,0.99929701,0.97479177,-0.03777738,-18.96037846,13.45800426,0.00000109,0.99953172,0.96627821,-0.02897118,-22.92185679,3.89902527,0.00000109,0.99959479,0.96400412,-0.02663158,-22.34710537,-6.42037399,0.00000109,0.99988682,0.94553083,-0.00782610,-17.34966348,-15.47912893,0.00000109,0.99983974,0.94387084,-0.00615382,-8.90780285,-21.47709097,0.00000109,0.99993559,0.95181694,-0.01418508,1.29977641,-23.21474224,0.00000109,0.99942034,0.97030823,-0.03313041,11.24178217,-20.35279905,0.00000109,0.99972402,0.95936319,-0.02187363,18.95220280,-13.46947786,0.00000109,0.99880434,0.99292865,-0.05678484,22.91985083,-3.91085419,0.00000109,0.99990292,0.94609904,-0.00839918,22.34349881,6.43287619,0.00000109,0.99953568,0.96613528,-0.02882397
